Produkt,Totalt_salg,Andel,Kumulativ_andel,Klasse
A1,4170,0.208,0.208,A
A2,1910,0.095,0.303,A
A3,1480,0.074,0.377,A
A4,1237,0.062,0.439,A
A5,1099,0.055,0.494,A
A6,782,0.039,0.533,A
A7,778,0.039,0.571,A
A8,731,0.036,0.608,A
A9,719,0.036,0.644,A
A10,602,0.03,0.674,A
A11,593,0.03,0.703,A
A12,574,0.029,0.732,A
A13,573,0.029,0.761,A
A14,486,0.024,0.785,A
B1,485,0.024,0.809,B
B2,481,0.024,0.833,B
B3,429,0.021,0.854,B
B4,377,0.019,0.873,B
B5,366,0.018,0.892,B
B6,326,0.016,0.908,B
B7,252,0.013,0.92,B
B8,237,0.012,0.932,B
B9,237,0.012,0.944,B
C1,234,0.012,0.956,C
C2,198,0.01,0.966,C
C3,185,0.009,0.975,C
C4,145,0.007,0.982,C
C5,133,0.007,0.989,C
C6,74,0.004,0.992,C
C7,72,0.004,0.996,C
C8,29,0.001,0.997,C
C10,24,0.001,0.999,C
C9,24,0.001,1.0,C
C11,4,0.0,1.0,C
